rank,title,kind,note
1,SNL KOREA,시리즈,쿠팡플레이 오리지널 예능
2,닥터신,시리즈,
3,나는 SOLO,시리즈,
4,히든 페이스,영화,한국 영화 2024
5,"나는 SOLO, 그 후 사랑은 계속된다",시리즈,
6,로맨스의 절대값,시리즈,
7,연애기숙학교 돌싱N모솔,시리즈,
8,굿 포츈,영화,2025
9,무한도전,시리즈,예능
10,유포리아,시리즈,HBO Euphoria
11,투 브로크 걸즈,시리즈,2 Broke Girls
12,미션 임파서블: 파이널 레코닝,영화,2025
13,프렌즈,시리즈,Friends
14,강호동네서점,시리즈,예능
15,파과,영화,한국 영화 2025
16,해리 포터와 마법사의 돌,영화,Harry Potter and the Sorcerer's Stone 2001
17,킬러들의 비행,영화,2025
18,왕좌의 게임,시리즈,Game of Thrones
19,포풍추영,영화,성룡 2025
20,동화지막 청불입니다 무삭제판,영화,중국 2025
